LSTGauge,n_bases
e7+e7+f4+g2+so7+so7+sp1+su2+su2+su2+su2,694
e6+e6+e8+f4+g2+g2+so8+sp1+sp1+su3+su3+su3,694
e7+e7+e8+f4+g2+g2+g2+g2+so7+so8+sp1+sp1+su2+su2+su2+su2,690
e6+e8+f4+f4+g2+g2+g2+sp1+sp1+su2+su3+su3,689
f4+f4+g2+sp1,686
e7+f4+g2+g2+g2+so8+sp1+su2+su2,685
e7+e7+e7+e7+g2+g2+so7+so7+so7+su2+su2+su2+su2+su2+su2+su2+su2,681
e6+e6+e6+e6+so7+su2+su2+su3+su3+su3,680
e7+e7+f4+g2+so7+su2+su2+su2+su3,678
e7+e7+f4+g2+g2+sp1+su2,669
e7+f4+f4+g2+g2+g2+sp1+su2+su2,668
e7+e7+e8+f4+g2+g2+g2+so7+sp1+sp1+su2+su2+su2,668
e7+f4+g2+g2+g2+so8+su2+su2+su2,663
e6+e7+e7+f4+g2+so7+so7+su2+su2+su2+su2+su2,663
e6+e8+f4+g2+g2+sp1+sp1+su3+su3+su3,663
e7+g2+so8+sp1+su3,662
e6+e7+f4+g2+g2+sp1+su2,658
e7+e8+f4+f4+f4+g2+g2+g2+g2+sp1+sp1+su2+su2,654
e6+e8+f4+g2+g2+g2+so8+sp1+sp1+su2,652
e6+f4+f4+g2+sp1+su3+su3,645
e7+e8+f4+f4+g2+g2+g2+so7+sp1+sp1+su2+su2+su2,644
e7+e8+f4+g2+g2+g2+g2+so8+sp1+sp1+su2+su2+su3,643
e7+e8+f4+f4+g2+g2+g2+g2+g2+sp1+sp1+sp1+su2+su2,642
e7+e7+e7+e8+f4+g2+g2+g2+so7+so7+sp1+sp1+su2+su2+su2+su2+su2,641
e7+e7+g2+g2+so7+sp1+sp1+su2+su2,639
e6+f4+g2+su2+su3+su3+su3,637
e7+e7+g2+g2+so7+so8+so8+su2+su2+su2+su2,632
e6+f4+g2+g2+sp1+sp1,631
e8+g2+g2+g2+so8+sp1+sp1+su2+su3,630
g2+g2+so8+so8+so8+so8+so8+so8+sp1+su2,630
e6+e6+f4+g2+so7+su2+su2+su2+su3+su3,629
