"T_LST","External","LST_Gauge","Count"
3,"f4+su2+su2","su3",1
3,"f4+su2+su2+su2","su3",1
3,"hat1+su2","(none)",1
3,"hat1+su2+su2","(none)",1
3,"so8+su2","(none)",1
3,"so8+su2","su3",1
3,"so8+su2+su3","su3",1
3,"so8+su3","(none)",1
3,"su2","(none)",1
3,"su2+su2","(none)",1
3,"su2+su2+su2+su2+su3","su3",1
3,"su2+su2+su2+su3","su3",1
3,"su2+su2+su2+su3+su3","su3",1
3,"su2+su3","(none)",1
3,"su3+su3","(none)",1
4,"su2+su2+su2","su3 + su3",264
4,"su2+su2","su3 + su3",233
4,"su2+su2","so8",211
4,"su2","su3 + su3",197
4,"su2","su2+g2 + su3",188
4,"su2","so8",162
4,"su2+su2+su2","so8",149
4,"su3","su2+g2",133
4,"su2+su2+su2+su2","so8",132
4,"su2+su2","su2+g2 + su3",68
4,"su2+su2+su2","su2+g2 + su3",53
4,"su2+su2+su2+su2","su3 + su3",47
4,"su3","sp1+g2",42
4,"su3","su3 + su3",38
4,"su2+su2+su3","su3 + su3",30
4,"su2","su2+g2 + su2+g2",29
4,"su2+su3","su2+g2",24
4,"su3","su2+g2 + su3",24
4,"su2","su3 + su3 + su3",23
4,"su2","su2+g2",22
4,"su2+su2+su2+su3","su2+g2",19
4,"su2+su2+su3","su2+g2",19
4,"su3","su2+so7+su2",17
4,"su2+su2","su3 + su3 + su3",15
4,"su2+su2+su2","su2+g2",14
4,"su2+su2","su2+g2",13
4,"su2+su2+su2+su2+su2","so8",13
4,"su3","so8",13
4,"so8","so8",12
4,"su2+su2+su2+su2+su2+su2","so8",11
4,"su2+su2+su3","su2+so7+su2",8
4,"so8+su2+su2","so8",7
4,"su2+su2+su2+su3","su2+so7+su2",6
4,"su2+su2+su3","so8",6
4,"su2+su3","so8",6
4,"su2+su3+su3","su2+g2",6
4,"su3+su3","su2+g2",6
4,"su2+su2+su2","su3 + su3 + su3",5
4,"su2+su2+su2+su2+su3","su2+g2",5
4,"su2+su3","su3 + su3",5
4,"su3+su3","so8",5
4,"f4","su2+g2",4
4,"so8","(none)",4
4,"so8","su2+g2",4
4,"su2","sp1+g2",4
4,"su2","su2+so7+su2",4
4,"su2+su2+su2+su3","so8",4
4,"su2+su2+su2+su3","sp1+g2",4
4,"su2+su2+su3","sp1+g2",4
4,"su3","(none)",4
4,"e6","(none)",3
4,"e7","(none)",3
4,"e7'","(none)",3
4,"e8","(none)",3
4,"f4","(none)",3
4,"so8+so8","so8",3
4,"so8+su2","su2+g2",3
4,"so8+su2+su2+su3","su3 + su3",3
4,"so8+su3","su2+g2",3
4,"so8+su3","su3 + su3",3
4,"su2+su2","sp1+g2",3
4,"su2+su2+su3","su2+g2 + su3",3
4,"su2+su2+su3+su3","su2+g2",3
4,"su2+su3","sp1+g2",3
4,"su2+su3","su2+g2 + su3",3
4,"su2+su3","su2+so7+su2",3
4,"e6","su2+g2",2
4,"e6","su3 + su3",2
4,"e6+su2","su2+g2",2
4,"e6+su3","(none)",2
4,"e7","su2+g2",2
4,"e7'","su2+g2",2
4,"e7+su3","su2+g2",2
4,"f4","sp1+g2",2
4,"f4","su2+g2 + su3",2
4,"f4","su3 + su3",2
4,"f4+f4+su2","su2+g2",2
4,"f4+su2","su2+g2",2
4,"hat1","(none)",2
4,"so8","sp1+g2",2
4,"so8","su2+g2 + su3",2
4,"so8","su3 + su3",2
4,"so8+su2","so8",2
4,"so8+su2","su2+g2 + su3",2
4,"so8+su2+su2+su2","so8",2
4,"so8+su2+su2+su2+su2","so8",2
4,"so8+su2+su2+su3","su2+g2",2
4,"su2+su2","su2+g2 + su2+g2",2
4,"su2+su2+su2+su3","su3 + su3",2
4,"su2+su2+su2+su3+su3","su2+g2",2
4,"e6","sp1+g2",1
4,"e6+e6","su3 + su3",1
4,"e6+e7'","(none)",1
4,"e6+su2","(none)",1
4,"e6+su2+su2","su2+g2",1
4,"e6+su2+su2","su3 + su3",1
4,"e6+su2+su2+su2","su2+g2",1
4,"e7","sp1+g2",1
4,"e7'","sp1+g2",1
4,"e7+e8","(none)",1
4,"e7'+f4","su2+g2",1
4,"e7+f4","(none)",1
