gram_bibj_pattern	ID	gauge_group	vertices	num_AB	delta	delta_28n	T_min	n_pos_bibj	n_neg_bibj	gram_b0bi	gram_bibj	hyper_strings	hypers
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-n44-3eba6c2a	SU(12) x SO(21)	vtx-A11-145-n2-0,vtx-B10-63-n4-n2	0,2	-44	12	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1) : 3 x (irr-A11-12),(2) : 1 x (irr-B10-21),(1,2) : 1 x (irr-A11-12, irr-B10-21)	(1, 2):[[1, ['irr-A11-12', 'irr-B10-21']]]; (1,):[[3, ['irr-A11-12']]]; (2,):[[1, ['irr-B10-21']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-n43-be5caab8	SU(11) x SO(22)	vtx-A10-122-n2-0,vtx-D11-77-n4-n2	0,2	-43	13	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(2) : 3 x (irr-D11-22),(1,2) : 1 x (irr-A10-11, irr-D11-22)	(1, 2):[[1, ['irr-A10-11', 'irr-D11-22']]]; (2,):[[3, ['irr-D11-22']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-n42-6bd33a28	SU(12) x SO(22)	vtx-A11-145-n2-0,vtx-D11-77-n4-n2	0,2	-42	14	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1) : 2 x (irr-A11-12),(2) : 2 x (irr-D11-22),(1,2) : 1 x (irr-A11-12, irr-D11-22)	(1, 2):[[1, ['irr-A11-12', 'irr-D11-22']]]; (1,):[[2, ['irr-A11-12']]]; (2,):[[2, ['irr-D11-22']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-n40-a92e5c52	SU(13) x SO(21)	vtx-A12-170-n2-0,vtx-B10-63-n4-n2	0,2	-40	16	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1) : 5 x (irr-A12-13),(1,2) : 1 x (irr-A12-13, irr-B10-21)	(1, 2):[[1, ['irr-A12-13', 'irr-B10-21']]]; (1,):[[5, ['irr-A12-13']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-n39-52f25185	SU(12) x SO(23)	vtx-A11-145-n2-0,vtx-B11-92-n4-n2	0,2	-39	17	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1) : 1 x (irr-A11-12),(2) : 3 x (irr-B11-23),(1,2) : 1 x (irr-A11-12, irr-B11-23)	(1, 2):[[1, ['irr-A11-12', 'irr-B11-23']]]; (1,):[[1, ['irr-A11-12']]]; (2,):[[3, ['irr-B11-23']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-n39-698a8717	SU(13) x SO(22)	vtx-A12-170-n2-0,vtx-D11-77-n4-n2	0,2	-39	17	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1) : 4 x (irr-A12-13),(2) : 1 x (irr-D11-22),(1,2) : 1 x (irr-A12-13, irr-D11-22)	(1, 2):[[1, ['irr-A12-13', 'irr-D11-22']]]; (1,):[[4, ['irr-A12-13']]]; (2,):[[1, ['irr-D11-22']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-n37-03a58d28	SU(13) x SO(23)	vtx-A12-170-n2-0,vtx-B11-92-n4-n2	0,2	-37	19	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1) : 3 x (irr-A12-13),(2) : 2 x (irr-B11-23),(1,2) : 1 x (irr-A12-13, irr-B11-23)	(1, 2):[[1, ['irr-A12-13', 'irr-B11-23']]]; (1,):[[3, ['irr-A12-13']]]; (2,):[[2, ['irr-B11-23']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-n35-5834821a	SU(12) x SO(24)	vtx-A11-145-n2-0,vtx-D12-108-n4-n2	0,2	-35	21	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(2) : 4 x (irr-D12-24),(1,2) : 1 x (irr-A11-12, irr-D12-24)	(1, 2):[[1, ['irr-A11-12', 'irr-D12-24']]]; (2,):[[4, ['irr-D12-24']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-n34-0af7c4d6	SU(13) x SO(24)	vtx-A12-170-n2-0,vtx-D12-108-n4-n2	0,2	-34	22	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1) : 2 x (irr-A12-13),(2) : 3 x (irr-D12-24),(1,2) : 1 x (irr-A12-13, irr-D12-24)	(1, 2):[[1, ['irr-A12-13', 'irr-D12-24']]]; (1,):[[2, ['irr-A12-13']]]; (2,):[[3, ['irr-D12-24']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-n34-383c44f3	SU(14) x SO(22)	vtx-A13-197-n2-0,vtx-D11-77-n4-n2	0,2	-34	22	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1) : 6 x (irr-A13-14),(1,2) : 1 x (irr-A13-14, irr-D11-22)	(1, 2):[[1, ['irr-A13-14', 'irr-D11-22']]]; (1,):[[6, ['irr-A13-14']]]
