"TH"	"index"	"LST gauge algebra"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"
4	1	"0"	20	90	2	3	0	0	0	0	0	0
4	1	"0"	20	91	1	3	0	0	0	0	0	0
4	1	"0"	20	96	2	2	0	0	0	0	0	0
4	1	"0"	20	96	3	2	0	0	0	0	0	0
4	1	"0"	20	97	2	2	0	0	0	0	0	0
4	1	"0"	20	98	1	2	0	0	0	0	0	0
4	1	"0"	20	98	2	2	0	0	0	0	0	0
4	1	"0"	20	99	1	2	0	0	0	0	0	0
4	1	"0"	20	100	0	2	0	0	0	0	0	0
4	1	"0"	20	105	2	1	0	0	0	0	0	0
4	1	"0"	21	68	2	2	1	0	0	0	0	0
4	1	"0"	21	74	1	5	0	0	0	0	0	0
4	1	"0"	21	77	2	1	1	0	0	0	0	0
4	1	"0"	21	89	2	3	0	0	0	0	0	0
4	1	"0"	21	90	2	3	0	0	0	0	0	0
4	1	"0"	21	91	1	3	0	0	0	0	0	0
4	1	"0"	21	96	2	2	0	0	0	0	0	0
4	1	"0"	21	97	2	2	0	0	0	0	0	0
4	1	"0"	22	88	2	3	0	0	0	0	0	0
4	1	"0"	22	89	2	3	0	0	0	0	0	0
4	1	"0"	22	90	1	3	0	0	0	0	0	0
4	1	"0"	22	96	2	2	0	0	0	0	0	0
4	1	"0"	22	96	3	2	0	0	0	0	0	0
4	1	"0"	22	97	2	2	0	0	0	0	0	0
4	1	"0"	22	98	2	2	0	0	0	0	0	0
4	1	"0"	22	99	1	2	0	0	0	0	0	0
4	1	"0"	23	88	2	3	0	0	0	0	0	0
4	1	"0"	23	96	2	2	0	0	0	0	0	0
4	1	"0"	23	98	2	2	0	0	0	0	0	0
4	1	"0"	23	99	1	2	0	0	0	0	0	0
4	1	"0"	24	88	2	3	0	0	0	0	0	0
4	1	"0"	24	90	1	3	0	0	0	0	0	0
4	1	"0"	24	91	1	3	0	0	0	0	0	0
4	1	"0"	24	96	3	2	0	0	0	0	0	0
4	1	"0"	24	97	2	2	0	0	0	0	0	0
4	1	"0"	24	98	2	2	0	0	0	0	0	0
4	1	"0"	24	99	1	2	0	0	0	0	0	0
4	1	"0"	25	70	1	2	1	0	0	0	0	0
4	1	"0"	25	77	2	1	1	0	0	0	0	0
4	1	"0"	25	88	2	3	0	0	0	0	0	0
4	1	"0"	25	97	2	2	0	0	0	0	0	0
4	1	"0"	25	99	1	2	0	0	0	0	0	0
4	1	"0"	25	105	2	1	0	0	0	0	0	0
4	1	"0"	26	80	2	4	0	0	0	0	0	0
4	1	"0"	26	96	2	2	0	0	0	0	0	0
4	1	"0"	27	97	2	2	0	0	0	0	0	0
4	1	"0"	28	82	1	4	0	0	0	0	0	0
4	1	"0"	28	88	2	3	0	0	0	0	0	0
4	1	"0"	28	89	2	3	0	0	0	0	0	0
4	1	"0"	28	96	3	2	0	0	0	0	0	0
4	1	"0"	29	89	2	3	0	0	0	0	0	0
4	1	"0"	29	99	1	2	0	0	0	0	0	0
4	1	"0"	29	105	2	1	0	0	0	0	0	0
4	1	"0"	30	91	0	3	0	0	0	0	0	0
4	1	"0"	31	88	2	3	0	0	0	0	0	0
4	1	"0"	31	99	1	2	0	0	0	0	0	0
4	1	"0"	31	100	0	2	0	0	0	0	0	0
4	1	"0"	32	97	2	2	0	0	0	0	0	0
4	1	"0"	32	99	1	2	0	0	0	0	0	0
4	1	"0"	33	96	3	2	0	0	0	0	0	0
4	1	"0"	34	92	0	3	0	0	0	0	0	0
4	1	"0"	34	105	2	1	0	0	0	0	0	0
4	1	"0"	35	89	2	3	0	0	0	0	0	0
4	1	"0"	35	90	1	3	0	0	0	0	0	0
4	1	"0"	35	96	3	2	0	0	0	0	0	0
4	1	"0"	35	97	2	2	0	0	0	0	0	0
4	1	"0"	36	96	3	2	0	0	0	0	0	0
4	1	"0"	37	98	2	2	0	0	0	0	0	0
4	1	"0"	37	99	1	2	0	0	0	0	0	0
4	1	"0"	38	98	2	2	0	0	0	0	0	0
4	1	"0"	39	92	0	3	0	0	0	0	0	0
4	1	"0"	40	47	0	2	0	1	0	0	0	0
4	1	"0"	43	100	0	2	0	0	0	0	0	0
4	1	"0"	44	96	3	2	0	0	0	0	0	0
4	1	"0"	44	98	2	2	0	0	0	0	0	0
4	1	"0"	45	99	1	2	0	0	0	0	0	0
4	1	"0"	46	92	0	3	0	0	0	0	0	0
4	1	"0"	52	90	1	3	0	0	0	0	0	0
4	1	"0"	53	88	2	3	0	0	0	0	0	0
4	1	"0"	53	97	2	2	0	0	0	0	0	0
4	1	"0"	53	99	1	2	0	0	0	0	0	0
4	1	"0"	55	105	2	1	0	0	0	0	0	0
4	1	"0"	56	91	1	3	0	0	0	0	0	0
4	1	"0"	59	87	3	3	0	0	0	0	0	0
4	1	"0"	60	91	1	3	0	0	0	0	0	0
4	1	"0"	61	68	2	2	1	0	0	0	0	0
4	1	"0"	63	99	1	2	0	0	0	0	0	0
4	1	"0"	64	97	2	2	0	0	0	0	0	0
4	1	"0"	67	21	0	2	0	0	1	0	0	0
4	1	"0"	68	88	2	3	0	0	0	0	0	0
4	1	"0"	68	97	2	2	0	0	0	0	0	0
4	1	"0"	73	89	2	3	0	0	0	0	0	0
4	1	"0"	73	91	1	3	0	0	0	0	0	0
4	1	"0"	74	88	2	3	0	0	0	0	0	0
4	1	"0"	74	97	2	2	0	0	0	0	0	0
4	1	"0"	74	99	1	2	0	0	0	0	0	0
4	1	"0"	75	99	1	2	0	0	0	0	0	0
4	1	"0"	76	55	1	1	0	1	0	0	0	0
4	1	"0"	85	97	2	2	0	0	0	0	0	0
4	1	"0"	88	99	0	2	0	0	0	0	0	0
4	1	"0"	90	97	2	2	0	0	0	0	0	0
4	1	"0"	97	97	2	2	0	0	0	0	0	0
4	1	"0"	102	20	1	2	0	0	1	0	0	0
4	1	"0"	112	13	0	3	0	0	1	0	0	0
4	2	"su(3)"	10	91	1	2	0	0	0	0	0	0
4	2	"su(3)"	10	92	0	2	0	0	0	0	0	0
4	2	"su(3)"	10	94	4	1	0	0	0	0	0	0
4	2	"su(3)"	10	96	2	1	0	0	0	0	0	0
4	2	"su(3)"	10	96	3	1	0	0	0	0	0	0
